order_id,customer_id,product_category,region,order_date,revenue,cost,discount
O101217,C11611,Electronics,APAC,2024-01-08,307.43,313.44,0.1952
O104512,C10270,Electronics,EU,2024-01-08,255.64,290.45,0.2895
O111544,C11852,Toys,NA,2024-01-08,64.25,46.15,0.1703
O109667,C11628,Electronics,APAC,2024-01-08,403.89,398.1,0.222
O100630,C11621,Home & Kitchen,LATAM,2024-01-08,210.59,229.21,0.2542
O100025,C11416,Home & Kitchen,NA,2024-01-08,217.17,180.97,0.1246
O108213,C11566,Sports,NA,2024-01-08,94.33,74.12,0.1456
O102197,C11893,Electronics,EU,2024-01-08,242.76,293.87,0.2972
O101020,C10123,Fashion,NA,2024-01-08,85.34,74.53,0.267
O107858,C10209,Home & Kitchen,EU,2024-01-08,92.42,80.21,0.2288
O111512,C10494,Home & Kitchen,NA,2024-01-08,188.66,182.45,0.2445
O110358,C12137,Toys,APAC,2024-01-08,55.7,39.75,0.1778
O106490,C11940,Sports,NA,2024-01-08,83.93,76.58,0.1286
O107915,C12083,Beauty,EU,2024-01-08,82.15,71.5,0.1703
O104104,C10171,Fashion,NA,2024-01-08,93.0,70.26,0.1331
O107769,C12143,Sports,APAC,2024-01-08,139.89,115.06,0.1771
O108926,C10463,Toys,EU,2024-01-09,115.43,70.66,0.1028
O106212,C11275,Toys,EU,2024-01-09,172.93,129.21,0.0898
O104692,C12179,Beauty,EU,2024-01-09,103.2,57.09,0.0799
O110956,C11156,Home & Kitchen,EU,2024-01-09,189.7,178.64,0.1769
O105378,C11069,Toys,NA,2024-01-09,114.29,85.79,0.0858
O104184,C10122,Home & Kitchen,NA,2024-01-09,66.36,48.39,0.1109
O107947,C10433,Electronics,NA,2024-01-09,309.87,286.73,0.1957
O105269,C11146,Electronics,NA,2024-01-09,330.9,291.98,0.1989
O109391,C11470,Home & Kitchen,NA,2024-01-09,21.66,16.02,0.1335
O105707,C10705,Electronics,NA,2024-01-09,520.67,486.82,0.166
O100989,C11732,Fashion,LATAM,2024-01-09,75.25,54.47,0.1854
O111515,C11085,Sports,APAC,2024-01-09,231.76,157.15,0.0643
O101338,C11705,Beauty,APAC,2024-01-09,68.03,41.4,0.0819
O106782,C10873,Toys,NA,2024-01-09,74.98,58.92,0.2406
O111757,C11567,Fashion,NA,2024-01-09,44.64,48.28,0.2567
O103888,C10307,Home & Kitchen,NA,2024-01-09,188.97,143.55,0.0862
O108236,C12117,Home & Kitchen,NA,2024-01-09,63.3,46.86,0.0637
O110924,C10090,Fashion,APAC,2024-01-09,135.96,108.99,0.2235
O104986,C12126,Sports,APAC,2024-01-10,232.71,160.65,0.0842
O101028,C11243,Toys,NA,2024-01-10,82.48,60.52,0.1083
O105291,C11939,Home & Kitchen,EU,2024-01-10,37.43,20.05,0.0846
O101247,C11022,Electronics,APAC,2024-01-10,589.24,506.01,0.0786
O103145,C11214,Fashion,APAC,2024-01-10,105.33,73.84,0.1436
O101054,C10168,Electronics,EU,2024-01-10,302.83,359.84,0.289
O107157,C11639,Sports,LATAM,2024-01-10,194.51,144.06,0.1977
O102808,C11740,Fashion,EU,2024-01-10,100.46,81.27,0.2266
O106765,C12029,Electronics,NA,2024-01-10,588.33,551.16,0.1329
O107683,C11413,Sports,LATAM,2024-01-10,183.55,150.26,0.1341
O104648,C10644,Home & Kitchen,APAC,2024-01-10,227.22,163.5,0.0628
O100145,C11877,Sports,APAC,2024-01-10,156.73,122.37,0.1673
O110288,C10569,Fashion,NA,2024-01-10,189.14,170.23,0.2689
O106597,C11054,Toys,NA,2024-01-10,107.36,81.96,0.1491
O102121,C12096,Sports,APAC,2024-01-10,125.32,101.11,0.1535
O111342,C11281,Electronics,LATAM,2024-01-11,292.24,285.05,0.2198
O105515,C11536,Toys,APAC,2024-01-11,94.47,79.64,0.0852
O102780,C10684,Sports,APAC,2024-01-11,88.85,59.83,0.168
O101471,C11536,Fashion,NA,2024-01-11,109.12,102.68,0.3118
O105551,C10780,Sports,LATAM,2024-01-11,97.75,84.26,0.1805
O106160,C10525,Sports,LATAM,2024-01-11,158.03,120.88,0.0586
O108065,C11408,Electronics,APAC,2024-01-11,265.62,238.61,0.1859
O101651,C10039,Toys,APAC,2024-01-11,61.19,52.85,0.1116
O105855,C11293,Fashion,EU,2024-01-11,28.69,27.57,0.2962
O102136,C11197,Toys,NA,2024-01-11,81.76,58.4,0.1365
O106678,C11985,Electronics,LATAM,2024-01-11,423.57,400.74,0.168
O101244,C11925,Electronics,NA,2024-01-11,497.59,476.94,0.1945
O103941,C10686,Home & Kitchen,APAC,2024-01-11,156.98,136.44,0.1798
O107239,C12121,Fashion,NA,2024-01-11,117.95,98.95,0.2032
O108097,C10806,Beauty,EU,2024-01-11,116.0,93.75,0.1518
O101793,C10611,Home & Kitchen,EU,2024-01-11,167.12,129.15,0.125
O105272,C10531,Electronics,APAC,2024-01-11,474.25,450.04,0.1815
O110613,C12197,Fashion,EU,2024-01-11,45.01,46.14,0.2889
O108741,C10624,Electronics,EU,2024-01-11,310.73,421.92,0.3856
O106443,C11786,Toys,LATAM,2024-01-11,114.63,100.88,0.1668
O101156,C10264,Fashion,EU,2024-01-11,111.56,104.49,0.2609
O100972,C11050,Home & Kitchen,EU,2024-01-11,72.25,45.19,0.1393
O106425,C11739,Electronics,LATAM,2024-01-12,193.17,193.0,0.1803
O106078,C11269,Fashion,EU,2024-01-12,106.0,104.58,0.2798
O107913,C12175,Electronics,EU,2024-01-12,202.74,262.87,0.3568
O109613,C10898,Toys,NA,2024-01-12,98.72,71.39,0.1641
O111025,C11029,Toys,NA,2024-01-12,106.57,86.82,0.1083
O105653,C11023,Electronics,APAC,2024-01-12,324.0,275.47,0.2082
O105738,C10493,Fashion,LATAM,2024-01-12,34.26,34.81,0.3464
O102985,C11426,Home & Kitchen,APAC,2024-01-12,60.41,62.2,0.1652
O111657,C11155,Home & Kitchen,EU,2024-01-12,156.11,131.14,0.2095
O104836,C10301,Electronics,LATAM,2024-01-12,309.36,297.0,0.1425
O108907,C11452,Electronics,APAC,2024-01-12,191.71,199.66,0.2536
O110971,C12007,Sports,LATAM,2024-01-12,104.51,76.9,0.1353
O108790,C11203,Toys,EU,2024-01-12,127.57,98.22,0.1274
O108283,C11163,Electronics,NA,2024-01-12,344.87,302.8,0.1347
O101290,C10514,Toys,EU,2024-01-12,71.83,52.05,0.217
O103206,C12198,Sports,APAC,2024-01-13,184.45,141.7,0.1793
O104054,C10012,Toys,LATAM,2024-01-13,89.71,66.7,0.1901
O101236,C10010,Electronics,LATAM,2024-01-13,266.98,254.9,0.192
O109418,C10162,Electronics,NA,2024-01-13,371.64,366.58,0.2283
O107011,C11247,Beauty,APAC,2024-01-13,76.56,50.28,0.1819
O102713,C11145,Electronics,EU,2024-01-13,203.98,260.09,0.3582
O107578,C11365,Home & Kitchen,NA,2024-01-13,211.09,154.62,0.0725
O103727,C11158,Electronics,LATAM,2024-01-13,386.59,364.58,0.1472
O111702,C11863,Toys,NA,2024-01-13,46.42,49.19,0.1633
O108409,C11641,Home & Kitchen,NA,2024-01-13,109.7,80.73,0.0763
O108999,C11695,Home & Kitchen,LATAM,2024-01-13,174.23,207.92,0.2122
O110371,C11905,Home & Kitchen,NA,2024-01-13,232.43,203.36,0.1352
O101499,C11850,Fashion,APAC,2024-01-13,77.12,60.94,0.2598
O104258,C11329,Sports,LATAM,2024-01-13,204.84,162.62,0.2166
O110341,C11576,Fashion,EU,2024-01-13,44.56,42.37,0.2067
O101199,C11364,Beauty,NA,2024-01-13,46.52,25.72,0.1163
O102689,C12160,Toys,NA,2024-01-14,66.7,51.95,0.1296
O111550,C10802,Sports,EU,2024-01-14,194.75,139.83,0.065
O103810,C10503,Fashion,LATAM,2024-01-14,184.36,182.19,0.246
O102080,C11819,Home & Kitchen,APAC,2024-01-14,215.72,169.87,0.1752
O105061,C11364,Electronics,LATAM,2024-01-14,353.16,375.69,0.2185
O105866,C11579,Toys,APAC,2024-01-14,94.44,65.05,0.1824
O104995,C10465,Sports,LATAM,2024-01-14,58.09,40.19,0.1699
O108668,C10059,Fashion,NA,2024-01-14,111.18,94.3,0.1838
O106538,C10715,Beauty,EU,2024-01-14,119.3,81.62,0.0731
O105683,C10952,Home & Kitchen,NA,2024-01-14,45.19,41.17,0.1591
O103154,C10151,Electronics,NA,2024-01-14,353.57,275.13,0.0527
O100888,C10034,Fashion,APAC,2024-01-14,88.3,74.91,0.1628
O109027,C10268,Electronics,NA,2024-01-14,526.73,476.04,0.1379
O107880,C10791,Sports,EU,2024-01-14,159.48,126.42,0.1942
O105673,C11429,Home & Kitchen,EU,2024-01-14,103.17,88.05,0.1984
O108819,C10359,Fashion,EU,2024-01-14,76.98,78.3,0.3006
O100820,C10052,Home & Kitchen,NA,2024-01-14,202.69,164.35,0.0942
O103036,C11765,Fashion,APAC,2024-01-15,131.18,116.62,0.2786
O106931,C11744,Fashion,NA,2024-01-15,111.13,86.57,0.1513
O100975,C10496,Toys,EU,2024-01-15,74.28,56.31,0.1304
O101870,C10094,Electronics,EU,2024-01-15,281.96,311.0,0.2885
O110031,C10640,Fashion,EU,2024-01-15,102.28,102.06,0.2859
O107492,C10447,Toys,EU,2024-01-15,53.45,37.08,0.1688
O109919,C11572,Fashion,APAC,2024-01-15,155.22,138.28,0.2091
O107096,C10354,Home & Kitchen,NA,2024-01-15,97.32,97.47,0.2232
O108725,C11450,Beauty,APAC,2024-01-15,31.18,8.0,0.1153
O104955,C10424,Fashion,NA,2024-01-15,111.37,83.14,0.1705
O109432,C11870,Sports,APAC,2024-01-15,106.75,91.98,0.1921
O102972,C11315,Beauty,EU,2024-01-15,127.86,77.47,0.0366
O110134,C10091,Fashion,EU,2024-01-15,85.76,74.26,0.2607
O102337,C11802,Toys,NA,2024-01-16,134.39,93.13,0.1341
O108747,C10364,Fashion,APAC,2024-01-16,257.67,174.68,0.0942
O102976,C11087,Fashion,APAC,2024-01-16,94.4,88.69,0.3038
O107293,C10770,Toys,LATAM,2024-01-16,68.87,58.44,0.1485
O100795,C10649,Toys,EU,2024-01-16,62.35,43.47,0.2234
O107509,C11022,Electronics,EU,2024-01-16,273.85,327.62,0.3002
O103577,C11884,Electronics,EU,2024-01-16,438.4,467.89,0.2337
O105455,C10300,Electronics,EU,2024-01-16,302.39,388.66,0.3505
O102326,C10752,Sports,EU,2024-01-16,125.03,107.71,0.2064
O102809,C10416,Electronics,NA,2024-01-16,278.78,289.27,0.1908
O103183,C10127,Home & Kitchen,NA,2024-01-16,178.08,133.06,0.1044
O100372,C10902,Fashion,EU,2024-01-16,40.22,48.81,0.3001
O104004,C11762,Electronics,APAC,2024-01-16,242.1,209.59,0.1609
O106094,C10692,Beauty,NA,2024-01-16,71.85,41.7,0.0918
O101606,C10325,Toys,LATAM,2024-01-16,107.63,78.06,0.118
O110889,C12113,Electronics,EU,2024-01-16,303.9,355.91,0.2612
O107762,C11150,Beauty,EU,2024-01-16,89.78,48.3,0.0
O102542,C12104,Sports,EU,2024-01-16,179.17,139.1,0.184
O101440,C11715,Beauty,NA,2024-01-16,46.22,27.77,0.1654
O107976,C10139,Beauty,NA,2024-01-16,29.72,17.26,0.0699
O108008,C10662,Beauty,LATAM,2024-01-16,28.97,20.9,0.1291
O100067,C10815,Electronics,EU,2024-01-16,292.41,332.59,0.3113
O108805,C10042,Sports,NA,2024-01-17,153.24,109.19,0.1638
O109776,C11854,Home & Kitchen,NA,2024-01-17,21.86,16.02,0.1255
O104395,C11126,Fashion,APAC,2024-01-17,74.46,64.47,0.3115
O108509,C11861,Toys,APAC,2024-01-17,75.2,56.9,0.1561
O104926,C10877,Home & Kitchen,APAC,2024-01-17,192.16,169.09,0.2184
O107796,C11917,Beauty,APAC,2024-01-17,86.96,62.19,0.1101
O111028,C10785,Home & Kitchen,EU,2024-01-17,170.15,138.74,0.1293
O109761,C10329,Fashion,LATAM,2024-01-17,137.69,137.06,0.345
O108087,C12034,Electronics,NA,2024-01-17,166.55,148.29,0.1746
O107127,C10405,Electronics,NA,2024-01-17,461.79,411.78,0.146
O106687,C10227,Fashion,NA,2024-01-17,20.93,8.0,0.1629
O102961,C10927,Home & Kitchen,LATAM,2024-01-17,185.55,201.24,0.1785
O102524,C10137,Beauty,NA,2024-01-17,67.2,51.67,0.1087
O100196,C10753,Fashion,APAC,2024-01-17,111.8,73.13,0.1359
O104885,C10445,Sports,EU,2024-01-17,99.97,76.5,0.1927
O104691,C10146,Electronics,EU,2024-01-17,217.79,238.87,0.2517
O105173,C10735,Home & Kitchen,EU,2024-01-17,244.94,208.67,0.131
O100360,C11860,Electronics,NA,2024-01-17,312.97,280.83,0.1328
O105742,C11959,Fashion,APAC,2024-01-17,62.47,42.86,0.2321
O100850,C12156,Sports,NA,2024-01-17,147.11,122.69,0.1264
O106741,C11963,Toys,EU,2024-01-17,80.04,68.7,0.1956
O100482,C10551,Sports,EU,2024-01-17,49.83,38.23,0.2399
O104450,C11889,Toys,NA,2024-01-17,112.67,64.17,0.0737
O106047,C11255,Sports,NA,2024-01-17,141.66,116.76,0.2155
O105146,C11046,Toys,LATAM,2024-01-17,138.68,96.72,0.0757
O101279,C11904,Sports,EU,2024-01-18,207.11,163.86,0.1903
O103109,C10519,Fashion,NA,2024-01-18,54.42,46.06,0.2375
O100136,C11326,Sports,EU,2024-01-18,212.09,169.66,0.1543
O102996,C10663,Toys,EU,2024-01-18,85.28,61.2,0.188
O104712,C11950,Electronics,LATAM,2024-01-18,648.89,575.02,0.1202
O109794,C12171,Sports,NA,2024-01-18,102.43,78.79,0.1917
O103365,C11648,Toys,EU,2024-01-18,67.58,57.08,0.1513
O110929,C10121,Electronics,EU,2024-01-18,347.82,475.25,0.3945
O106654,C10203,Home & Kitchen,APAC,2024-01-18,264.71,209.97,0.1171
O111300,C12166,Beauty,EU,2024-01-18,82.58,57.1,0.2162
O102633,C11237,Electronics,APAC,2024-01-18,417.53,399.32,0.2238
O107256,C12012,Home & Kitchen,LATAM,2024-01-18,191.12,209.27,0.2726
O109591,C10399,Sports,EU,2024-01-18,158.54,131.51,0.1744
O105721,C10911,Sports,NA,2024-01-18,147.5,136.31,0.1748
O107458,C10221,Fashion,APAC,2024-01-18,95.65,72.5,0.1308
O105606,C10992,Fashion,NA,2024-01-18,85.5,68.94,0.3157
O111902,C10525,Fashion,NA,2024-01-18,155.16,103.89,0.1494
O101530,C10197,Toys,APAC,2024-01-18,84.59,56.39,0.1246
O104076,C12155,Electronics,EU,2024-01-18,334.0,397.38,0.3088
O106159,C10588,Beauty,NA,2024-01-18,48.26,29.69,0.129
O105760,C10274,Fashion,NA,2024-01-19,114.4,84.37,0.1243
O104857,C11389,Electronics,NA,2024-01-19,291.86,277.14,0.1933
O104941,C10981,Toys,EU,2024-01-19,116.78,76.9,0.1062
O110869,C11609,Home & Kitchen,APAC,2024-01-19,219.28,185.38,0.1091
O101708,C10536,Electronics,APAC,2024-01-19,298.7,257.53,0.1614
O100547,C11300,Home & Kitchen,LATAM,2024-01-19,165.29,191.21,0.2192
O101293,C10009,Beauty,NA,2024-01-19,85.81,60.72,0.0346
O102266,C11503,Electronics,EU,2024-01-19,286.38,344.68,0.2944
O110265,C10482,Fashion,EU,2024-01-19,78.05,80.89,0.3254
O106259,C12076,Electronics,NA,2024-01-19,388.36,368.02,0.1427
O107653,C10595,Electronics,NA,2024-01-19,307.1,268.27,0.1554
O102631,C11496,Beauty,NA,2024-01-19,78.37,42.85,0.0355
O106334,C10146,Fashion,EU,2024-01-19,83.43,65.95,0.1549
O104001,C11854,Beauty,APAC,2024-01-19,101.98,60.98,0.1278
O111529,C11033,Toys,APAC,2024-01-19,147.17,92.91,0.0175
O106909,C12179,Toys,EU,2024-01-19,76.07,61.77,0.1012
O101636,C10363,Sports,NA,2024-01-19,137.41,110.79,0.1119
O105607,C11310,Toys,APAC,2024-01-19,89.26,70.05,0.1401
O103169,C11333,Home & Kitchen,NA,2024-01-19,180.98,154.1,0.1512
O108718,C11379,Home & Kitchen,LATAM,2024-01-19,175.23,178.38,0.1828
O101388,C11959,Electronics,EU,2024-01-19,167.66,202.25,0.2985
O106712,C11242,Sports,APAC,2024-01-20,216.8,153.29,0.1154
O101370,C11937,Home & Kitchen,EU,2024-01-20,225.73,216.19,0.2084
O111536,C11416,Beauty,APAC,2024-01-20,33.01,26.61,0.1066
O111226,C12034,Beauty,APAC,2024-01-20,99.1,60.4,0.1141
O102035,C11861,Toys,NA,2024-01-20,113.88,88.98,0.1037
O104205,C11775,Beauty,LATAM,2024-01-20,64.69,40.2,0.0766
O102033,C11491,Sports,EU,2024-01-20,128.78,116.48,0.1892
O107618,C10562,Sports,APAC,2024-01-20,104.66,82.25,0.1585
O106397,C10339,Electronics,APAC,2024-01-20,306.33,300.29,0.1771
O103428,C11715,Beauty,NA,2024-01-20,67.39,40.71,0.1257
O106166,C10665,Home & Kitchen,EU,2024-01-20,274.41,226.3,0.1818
O102450,C11847,Beauty,EU,2024-01-20,37.28,33.13,0.2476
O101053,C12108,Fashion,APAC,2024-01-20,63.71,49.57,0.1175
O108604,C10411,Electronics,NA,2024-01-20,163.5,156.62,0.1008
O101751,C11952,Fashion,EU,2024-01-20,81.44,91.79,0.3832
O105032,C10792,Electronics,EU,2024-01-20,293.18,370.33,0.346
O105424,C10661,Sports,LATAM,2024-01-20,111.2,101.68,0.199
O110961,C10057,Beauty,EU,2024-01-20,82.8,59.03,0.1337
O107073,C10502,Sports,EU,2024-01-20,124.11,93.08,0.1333
O101949,C10707,Toys,NA,2024-01-20,146.41,97.72,0.1221
O100146,C10076,Beauty,NA,2024-01-21,129.59,79.21,0.0732
O107348,C12033,Home & Kitchen,NA,2024-01-21,169.94,155.28,0.1407
O103511,C11272,Fashion,NA,2024-01-21,144.69,139.53,0.2962
O101502,C10503,Home & Kitchen,NA,2024-01-21,215.34,174.23,0.0554
O104482,C11838,Beauty,APAC,2024-01-21,77.42,59.33,0.0623
O100539,C10046,Home & Kitchen,NA,2024-01-21,52.37,49.47,0.1314
O104134,C12171,Electronics,APAC,2024-01-21,319.56,327.59,0.1912
O110963,C10000,Toys,EU,2024-01-21,120.26,96.78,0.1724
