Order ID;Customer ID;Category;Region;Order Date;Revenue;Cost;Discount;Profit;discount_pct
O106468;C11131;Electronics;APAC;05/01/2024;249.43;207.29;0.1619;42.140000000000015;16.189999999999998
O100083;C11831;Home & Kitchen;Unknown;05/01/2024;133.62;132.78;0.1858;0.8400000000000034;18.58
O100322;C11352;Fashion;Unknown;05/01/2024;19.61;24.3;0.2156;-4.690000000000001;21.560000000000002
O105619;C10364;Home & Kitchen;Unknown;05/01/2024;223.88;190.46;0.1358;33.41999999999999;13.58
O109381;C11037;Electronics;EU;05/01/2024;317.83;365.98;0.2716;-48.150000000000034;27.16
O109560;C11212;Fashion;APAC;05/01/2024;57.77;53.12;0.2459;4.650000000000006;24.59
O107768;C10625;Electronics;APAC;05/01/2024;361.91;351.47;0.1854;10.439999999999998;18.54
O102403;C11211;Electronics;EU;05/01/2024;236.16;265.67;0.2496;-29.51000000000002;24.959999999999997
O111478;C10369;Electronics;EU;05/01/2024;164.61;196.15;0.3354;-31.539999999999992;33.54
O102349;C11109;Electronics;Unknown;05/01/2024;300.96;275.19;0.1359;25.769999999999982;13.59
O105893;C10713;Sports;EU;05/01/2024;225.68;158.27;0.1114;67.41;11.14
O102241;C11459;Beauty;Unknown;05/01/2024;48.78;22.75;0.2;26.03;20.0
O102023;C11319;Home & Kitchen;EU;05/01/2024;68.41;61.05;0.1269;7.359999999999999;12.690000000000001
O102491;C10582;Home & Kitchen;EU;06/01/2024;248.72;217.34;0.1133;31.379999999999995;11.33
O105076;C10725;Fashion;Unknown;06/01/2024;138.2;118.91;0.2656;19.289999999999992;26.56
O103096;C10384;Electronics;Unknown;06/01/2024;437.15;416.97;0.1284;20.17999999999995;12.839999999999998
O104464;C10980;Sports;EU;06/01/2024;149.02;117.57;0.1682;31.450000000000017;16.82
O108650;C11959;Fashion;Unknown;06/01/2024;138.24;114.36;0.2292;23.88000000000001;22.919999999999998
O103416;C11354;Beauty;Unknown;06/01/2024;76.52;58.48;0.2;18.04;20.0
O104855;C11522;Fashion;LATAM;06/01/2024;66.23;64.2;0.2419;2.030000000000001;24.19
O100948;C12085;Sports;Unknown;06/01/2024;76.81;56.88;0.1393;19.93;13.930000000000001
O108264;C10110;Electronics;EU;06/01/2024;223.52;263.44;0.3235;-39.91999999999999;32.35
O107363;C10376;Home & Kitchen;Unknown;06/01/2024;100.6;76.49;0.0932;24.11;9.32
O111450;C11704;Toys;Unknown;06/01/2024;145.66;109.67;0.0856;35.989999999999995;8.559999999999999
O107424;C12107;Sports;EU;06/01/2024;206.57;164.09;0.1645;42.47999999999999;16.45
O110494;C10917;Sports;EU;06/01/2024;136.27;124.06;0.2348;12.210000000000008;23.48
O105836;C11930;Electronics;Unknown;06/01/2024;455.0;447.9;0.1838;7.100000000000023;18.38
O111549;C10491;Fashion;EU;06/01/2024;111.65;101.66;0.3359;9.990000000000009;33.589999999999996
O110311;C10008;Sports;Unknown;07/01/2024;197.91;155.97;0.1644;41.94;16.439999999999998
O101485;C11898;Fashion;Unknown;07/01/2024;77.78;63.04;0.2396;14.740000000000002;23.96
O105474;C10125;Electronics;APAC;07/01/2024;241.65;205.23;0.1384;36.420000000000016;13.84
O107656;C11767;Fashion;LATAM;07/01/2024;112.53;85.59;0.2214;26.939999999999998;22.14
O103146;C11413;Fashion;Unknown;07/01/2024;116.08;94.52;0.2602;21.560000000000002;26.02
O105151;C11363;Fashion;APAC;07/01/2024;19.1;22.11;0.236;-3.009999999999998;23.599999999999998
O109219;C12141;Electronics;Unknown;07/01/2024;373.49;311.27;0.1313;62.22000000000003;13.13
O100894;C11648;Toys;APAC;07/01/2024;126.02;92.77;0.1341;33.25;13.41
O108404;C11864;Beauty;EU;07/01/2024;73.62;39.99;0.0906;33.63;9.06
O100338;C10446;Electronics;Unknown;07/01/2024;513.48;498.43;0.1321;15.050000000000011;13.209999999999999
O104878;C11477;Sports;EU;07/01/2024;189.02;169.5;0.1841;19.52000000000001;18.41
O108140;C11692;Fashion;EU;07/01/2024;71.2;96.92;0.3946;-25.72;39.46
O104147;C11882;Toys;EU;07/01/2024;77.66;47.18;0.0517;30.479999999999997;5.17
O104581;C12138;Fashion;APAC;07/01/2024;85.36;67.18;0.2327;18.179999999999993;23.27
O109279;C10486;Sports;EU;07/01/2024;31.36;38.73;0.0694;-7.369999999999997;6.94
O105999;C10215;Sports;APAC;07/01/2024;119.75;74.19;0.1072;45.56;10.72
O108276;C11669;Sports;APAC;07/01/2024;76.16;58.21;0.1718;17.949999999999996;17.18
O106313;C10154;Fashion;Unknown;07/01/2024;143.46;103.65;0.1342;39.81;13.420000000000002
O106409;C12042;Toys;EU;08/01/2024;101.22;82.03;0.1442;19.189999999999998;14.42
O110595;C10531;Electronics;Unknown;08/01/2024;574.79;561.73;0.1674;13.059999999999945;16.74
O103626;C11696;Fashion;Unknown;08/01/2024;123.09;93.21;0.1725;29.88000000000001;17.25
O107218;C10554;Electronics;APAC;08/01/2024;386.17;338.04;0.1514;48.129999999999995;15.14
O102931;C11480;Beauty;Unknown;08/01/2024;84.45;54.91;0.0739;29.540000000000006;7.39
O107123;C11108;Fashion;EU;08/01/2024;113.82;100.02;0.2921;13.799999999999997;29.21
O102866;C10693;Home & Kitchen;Unknown;08/01/2024;214.66;179.21;0.146;35.44999999999999;14.6
O105024;C11918;Sports;EU;08/01/2024;161.26;117.01;0.0998;44.249999999999986;9.98
O101217;C11611;Electronics;APAC;08/01/2024;307.43;313.44;0.1952;-6.009999999999991;19.52
O104512;C10270;Electronics;EU;08/01/2024;255.64;290.45;0.2895;-34.81;28.95
O111544;C11852;Toys;Unknown;08/01/2024;64.25;46.15;0.1703;18.1;17.03
O109667;C11628;Electronics;APAC;08/01/2024;403.89;398.1;0.222;5.789999999999964;22.2
O100630;C11621;Home & Kitchen;LATAM;08/01/2024;210.59;229.21;0.2542;-18.620000000000005;25.419999999999998
O100025;C11416;Home & Kitchen;Unknown;08/01/2024;217.17;180.97;0.1246;36.19999999999999;12.46
O108213;C11566;Sports;Unknown;08/01/2024;94.33;74.12;0.1456;20.209999999999994;14.56
O102197;C11893;Electronics;EU;08/01/2024;242.76;293.87;0.2972;-51.110000000000014;29.720000000000002
O101020;C10123;Fashion;Unknown;08/01/2024;85.34;74.53;0.267;10.810000000000002;26.700000000000003
O107858;C10209;Home & Kitchen;EU;08/01/2024;92.42;80.21;0.2288;12.210000000000008;22.88
O111512;C10494;Home & Kitchen;Unknown;08/01/2024;188.66;182.45;0.2445;6.210000000000008;24.45
O110358;C12137;Toys;APAC;08/01/2024;55.7;39.75;0.1778;15.950000000000003;17.78
O106490;C11940;Sports;Unknown;08/01/2024;83.93;76.58;0.1286;7.3500000000000085;12.86
O107915;C12083;Beauty;EU;08/01/2024;82.15;71.5;0.1703;10.650000000000006;17.03
O104104;C10171;Fashion;Unknown;08/01/2024;93.0;70.26;0.1331;22.739999999999995;13.309999999999999
O107769;C12143;Sports;APAC;08/01/2024;139.89;115.06;0.1771;24.829999999999984;17.71
O108926;C10463;Toys;EU;09/01/2024;115.43;70.66;0.1028;44.77000000000001;10.280000000000001
O106212;C11275;Toys;EU;09/01/2024;172.93;129.21;0.0898;43.72;8.98
O104692;C12179;Beauty;EU;09/01/2024;103.2;57.09;0.0799;46.11;7.99
O110956;C11156;Home & Kitchen;EU;09/01/2024;189.7;178.64;0.1769;11.060000000000002;17.69
O105378;C11069;Toys;Unknown;09/01/2024;114.29;85.79;0.0858;28.5;8.58
O104184;C10122;Home & Kitchen;Unknown;09/01/2024;66.36;48.39;0.1109;17.97;11.09
O107947;C10433;Electronics;Unknown;09/01/2024;309.87;286.73;0.1957;23.139999999999986;19.57
O105269;C11146;Electronics;Unknown;09/01/2024;330.9;291.98;0.1989;38.91999999999996;19.89
O109391;C11470;Home & Kitchen;Unknown;09/01/2024;21.66;16.02;0.1335;5.640000000000001;13.350000000000001
O105707;C10705;Electronics;Unknown;09/01/2024;520.67;486.82;0.166;33.849999999999966;16.6
O100989;C11732;Fashion;LATAM;09/01/2024;75.25;54.47;0.1854;20.78;18.54
O111515;C11085;Sports;APAC;09/01/2024;231.76;157.15;0.0643;74.60999999999999;6.43
O101338;C11705;Beauty;APAC;09/01/2024;68.03;41.4;0.0819;26.630000000000003;8.19
O106782;C10873;Toys;Unknown;09/01/2024;74.98;58.92;0.2406;16.060000000000002;24.060000000000002
O111757;C11567;Fashion;Unknown;09/01/2024;44.64;48.28;0.2567;-3.6400000000000006;25.669999999999998
O103888;C10307;Home & Kitchen;Unknown;09/01/2024;188.97;143.55;0.0862;45.41999999999999;8.62
O108236;C12117;Home & Kitchen;Unknown;09/01/2024;63.3;46.86;0.0637;16.439999999999998;6.370000000000001
O110924;C10090;Fashion;APAC;09/01/2024;135.96;108.99;0.2235;26.970000000000013;22.35
O104986;C12126;Sports;APAC;10/01/2024;232.71;160.65;0.0842;72.06;8.42
O101028;C11243;Toys;Unknown;10/01/2024;82.48;60.52;0.1083;21.96;10.83
O105291;C11939;Home & Kitchen;EU;10/01/2024;37.43;20.05;0.0846;17.38;8.459999999999999
O101247;C11022;Electronics;APAC;10/01/2024;589.24;506.01;0.0786;83.23000000000002;7.86
O103145;C11214;Fashion;APAC;10/01/2024;105.33;73.84;0.1436;31.489999999999995;14.360000000000001
O101054;C10168;Electronics;EU;10/01/2024;302.83;359.84;0.289;-57.00999999999999;28.9
O107157;C11639;Sports;LATAM;10/01/2024;194.51;144.06;0.1977;50.44999999999999;19.77
O102808;C11740;Fashion;EU;10/01/2024;100.46;81.27;0.2266;19.189999999999998;22.66
O106765;C12029;Electronics;Unknown;10/01/2024;588.33;551.16;0.1329;37.17000000000007;13.29
O107683;C11413;Sports;LATAM;10/01/2024;183.55;150.26;0.1341;33.29000000000002;13.41
O104648;C10644;Home & Kitchen;APAC;10/01/2024;227.22;163.5;0.0628;63.72;6.279999999999999
O100145;C11877;Sports;APAC;10/01/2024;156.73;122.37;0.1673;34.359999999999985;16.73
O110288;C10569;Fashion;Unknown;10/01/2024;189.14;170.23;0.2689;18.909999999999997;26.889999999999997
O106597;C11054;Toys;Unknown;10/01/2024;107.36;81.96;0.1491;25.400000000000006;14.91
O102121;C12096;Sports;APAC;10/01/2024;125.32;101.11;0.1535;24.209999999999994;15.35
O111342;C11281;Electronics;LATAM;11/01/2024;292.24;285.05;0.2198;7.189999999999998;21.98
O105515;C11536;Toys;APAC;11/01/2024;94.47;79.64;0.0852;14.829999999999998;8.52
O102780;C10684;Sports;APAC;11/01/2024;88.85;59.83;0.168;29.019999999999996;16.8
O101471;C11536;Fashion;Unknown;11/01/2024;109.12;102.68;0.3118;6.439999999999998;31.180000000000003
O105551;C10780;Sports;LATAM;11/01/2024;97.75;84.26;0.1805;13.489999999999995;18.05
O106160;C10525;Sports;LATAM;11/01/2024;158.03;120.88;0.0586;37.150000000000006;5.86
O108065;C11408;Electronics;APAC;11/01/2024;265.62;238.61;0.1859;27.00999999999999;18.59
O101651;C10039;Toys;APAC;11/01/2024;61.19;52.85;0.1116;8.339999999999996;11.16
O105855;C11293;Fashion;EU;11/01/2024;28.69;27.57;0.2962;1.120000000000001;29.62
O102136;C11197;Toys;Unknown;11/01/2024;81.76;58.4;0.1365;23.360000000000007;13.65
O106678;C11985;Electronics;LATAM;11/01/2024;423.57;400.74;0.168;22.829999999999984;16.8
O101244;C11925;Electronics;Unknown;11/01/2024;497.59;476.94;0.1945;20.649999999999977;19.45
O103941;C10686;Home & Kitchen;APAC;11/01/2024;156.98;136.44;0.1798;20.539999999999992;17.98
O107239;C12121;Fashion;Unknown;11/01/2024;117.95;98.95;0.2032;19.0;20.32
O108097;C10806;Beauty;EU;11/01/2024;116.0;93.75;0.1518;22.25;15.18
O101793;C10611;Home & Kitchen;EU;11/01/2024;167.12;129.15;0.125;37.97;12.5
O105272;C10531;Electronics;APAC;11/01/2024;474.25;450.04;0.1815;24.20999999999998;18.15
O110613;C12197;Fashion;EU;11/01/2024;45.01;46.14;0.2889;-1.1300000000000026;28.89
O108741;C10624;Electronics;EU;11/01/2024;310.73;421.92;0.3856;-111.19;38.56
O106443;C11786;Toys;LATAM;11/01/2024;114.63;100.88;0.1668;13.75;16.68
O101156;C10264;Fashion;EU;11/01/2024;111.56;104.49;0.2609;7.070000000000007;26.090000000000003
O100972;C11050;Home & Kitchen;EU;11/01/2024;72.25;45.19;0.1393;27.060000000000002;13.930000000000001
O106425;C11739;Electronics;LATAM;12/01/2024;193.17;193.0;0.1803;0.1699999999999875;18.029999999999998
O106078;C11269;Fashion;EU;12/01/2024;106.0;104.58;0.2798;1.4200000000000017;27.98
O107913;C12175;Electronics;EU;12/01/2024;202.74;262.87;0.3568;-60.129999999999995;35.68
O109613;C10898;Toys;Unknown;12/01/2024;98.72;71.39;0.1641;27.33;16.41
O111025;C11029;Toys;Unknown;12/01/2024;106.57;86.82;0.1083;19.75;10.83
O105653;C11023;Electronics;APAC;12/01/2024;324.0;275.47;0.2082;48.52999999999997;20.82
O105738;C10493;Fashion;LATAM;12/01/2024;34.26;34.81;0.3464;-0.5500000000000043;34.64
O102985;C11426;Home & Kitchen;APAC;12/01/2024;60.41;62.2;0.1652;-1.7900000000000063;16.520000000000003
O111657;C11155;Home & Kitchen;EU;12/01/2024;156.11;131.14;0.2095;24.970000000000027;20.95
O104836;C10301;Electronics;LATAM;12/01/2024;309.36;297.0;0.1425;12.360000000000014;14.249999999999998
O108907;C11452;Electronics;APAC;12/01/2024;191.71;199.66;0.2536;-7.949999999999989;25.36
O110971;C12007;Sports;LATAM;12/01/2024;104.51;76.9;0.1353;27.61;13.530000000000001
O108790;C11203;Toys;EU;12/01/2024;127.57;98.22;0.1274;29.349999999999994;12.740000000000002
O108283;C11163;Electronics;Unknown;12/01/2024;344.87;302.8;0.1347;42.06999999999999;13.469999999999999
O101290;C10514;Toys;EU;12/01/2024;71.83;52.05;0.217;19.78;21.7
O103206;C12198;Sports;APAC;13/01/2024;184.45;141.7;0.1793;42.75;17.93
O104054;C10012;Toys;LATAM;13/01/2024;89.71;66.7;0.1901;23.00999999999999;19.009999999999998
O101236;C10010;Electronics;LATAM;13/01/2024;266.98;254.9;0.192;12.080000000000013;19.2
O109418;C10162;Electronics;Unknown;13/01/2024;371.64;366.58;0.2283;5.060000000000002;22.830000000000002
O107011;C11247;Beauty;APAC;13/01/2024;76.56;50.28;0.1819;26.28;18.19
O102713;C11145;Electronics;EU;13/01/2024;203.98;260.09;0.3582;-56.109999999999985;35.82
O107578;C11365;Home & Kitchen;Unknown;13/01/2024;211.09;154.62;0.0725;56.47;7.249999999999999
O103727;C11158;Electronics;LATAM;13/01/2024;386.59;364.58;0.1472;22.00999999999999;14.719999999999999
O111702;C11863;Toys;Unknown;13/01/2024;46.42;49.19;0.1633;-2.769999999999996;16.33
O108409;C11641;Home & Kitchen;Unknown;13/01/2024;109.7;80.73;0.0763;28.97;7.630000000000001
O108999;C11695;Home & Kitchen;LATAM;13/01/2024;174.23;207.92;0.2122;-33.69;21.22
O110371;C11905;Home & Kitchen;Unknown;13/01/2024;232.43;203.36;0.1352;29.069999999999993;13.52
O101499;C11850;Fashion;APAC;13/01/2024;77.12;60.94;0.2598;16.180000000000007;25.979999999999997
O104258;C11329;Sports;LATAM;13/01/2024;204.84;162.62;0.2166;42.22;21.66
O110341;C11576;Fashion;EU;13/01/2024;44.56;42.37;0.2067;2.190000000000005;20.669999999999998
O101199;C11364;Beauty;Unknown;13/01/2024;46.52;25.72;0.1163;20.800000000000004;11.63
O102689;C12160;Toys;Unknown;14/01/2024;66.7;51.95;0.1296;14.75;12.959999999999999
O111550;C10802;Sports;EU;14/01/2024;194.75;139.83;0.065;54.91999999999999;6.5
O103810;C10503;Fashion;LATAM;14/01/2024;184.36;182.19;0.246;2.170000000000016;24.6
O102080;C11819;Home & Kitchen;APAC;14/01/2024;215.72;169.87;0.1752;45.849999999999994;17.52
O105061;C11364;Electronics;LATAM;14/01/2024;353.16;375.69;0.2185;-22.529999999999973;21.85
O105866;C11579;Toys;APAC;14/01/2024;94.44;65.05;0.1824;29.39;18.240000000000002
O104995;C10465;Sports;LATAM;14/01/2024;58.09;40.19;0.1699;17.900000000000006;16.99
O108668;C10059;Fashion;Unknown;14/01/2024;111.18;94.3;0.1838;16.88000000000001;18.38
O106538;C10715;Beauty;EU;14/01/2024;119.3;81.62;0.0731;37.67999999999999;7.31
O105683;C10952;Home & Kitchen;Unknown;14/01/2024;45.19;41.17;0.1591;4.019999999999996;15.909999999999998
O103154;C10151;Electronics;Unknown;14/01/2024;353.57;275.13;0.0527;78.44;5.27
O100888;C10034;Fashion;APAC;14/01/2024;88.3;74.91;0.1628;13.39;16.28
O109027;C10268;Electronics;Unknown;14/01/2024;526.73;476.04;0.1379;50.69;13.79
O107880;C10791;Sports;EU;14/01/2024;159.48;126.42;0.1942;33.05999999999999;19.42
O105673;C11429;Home & Kitchen;EU;14/01/2024;103.17;88.05;0.1984;15.120000000000005;19.84
O108819;C10359;Fashion;EU;14/01/2024;76.98;78.3;0.3006;-1.3199999999999932;30.06
O100820;C10052;Home & Kitchen;Unknown;14/01/2024;202.69;164.35;0.0942;38.34;9.42
O103036;C11765;Fashion;APAC;15/01/2024;131.18;116.62;0.2786;14.560000000000002;27.860000000000003
O106931;C11744;Fashion;Unknown;15/01/2024;111.13;86.57;0.1513;24.560000000000002;15.129999999999999
O100975;C10496;Toys;EU;15/01/2024;74.28;56.31;0.1304;17.97;13.04
O101870;C10094;Electronics;EU;15/01/2024;281.96;311.0;0.2885;-29.04000000000002;28.849999999999998
O110031;C10640;Fashion;EU;15/01/2024;102.28;102.06;0.2859;0.21999999999999886;28.59
O107492;C10447;Toys;EU;15/01/2024;53.45;37.08;0.1688;16.370000000000005;16.88
O109919;C11572;Fashion;APAC;15/01/2024;155.22;138.28;0.2091;16.939999999999998;20.91
O107096;C10354;Home & Kitchen;Unknown;15/01/2024;97.32;97.47;0.2232;-0.15000000000000568;22.32
O108725;C11450;Beauty;APAC;15/01/2024;31.18;8.0;0.1153;23.18;11.53
O104955;C10424;Fashion;Unknown;15/01/2024;111.37;83.14;0.1705;28.230000000000004;17.05
O109432;C11870;Sports;APAC;15/01/2024;106.75;91.98;0.1921;14.769999999999996;19.21
O102972;C11315;Beauty;EU;15/01/2024;127.86;77.47;0.0366;50.39;3.66
O110134;C10091;Fashion;EU;15/01/2024;85.76;74.26;0.2607;11.5;26.07
O102337;C11802;Toys;Unknown;16/01/2024;134.39;93.13;0.1341;41.25999999999999;13.41
O108747;C10364;Fashion;APAC;16/01/2024;257.67;174.68;0.0942;82.99000000000001;9.42
O102976;C11087;Fashion;APAC;16/01/2024;94.4;88.69;0.3038;5.710000000000008;30.380000000000003
O107293;C10770;Toys;LATAM;16/01/2024;68.87;58.44;0.1485;10.430000000000007;14.85
O100795;C10649;Toys;EU;16/01/2024;62.35;43.47;0.2234;18.880000000000003;22.34
O107509;C11022;Electronics;EU;16/01/2024;273.85;327.62;0.3002;-53.76999999999998;30.020000000000003
O103577;C11884;Electronics;EU;16/01/2024;438.4;467.89;0.2337;-29.49000000000001;23.369999999999997
O105455;C10300;Electronics;EU;16/01/2024;302.39;388.66;0.3505;-86.27000000000004;35.05
O102326;C10752;Sports;EU;16/01/2024;125.03;107.71;0.2064;17.320000000000007;20.64
O102809;C10416;Electronics;Unknown;16/01/2024;278.78;289.27;0.1908;-10.490000000000009;19.08
O103183;C10127;Home & Kitchen;Unknown;16/01/2024;178.08;133.06;0.1044;45.02000000000001;10.440000000000001
O100372;C10902;Fashion;EU;16/01/2024;40.22;48.81;0.3001;-8.590000000000003;30.009999999999998
O104004;C11762;Electronics;APAC;16/01/2024;242.1;209.59;0.1609;32.50999999999999;16.09
O106094;C10692;Beauty;Unknown;16/01/2024;71.85;41.7;0.0918;30.14999999999999;9.180000000000001
O101606;C10325;Toys;LATAM;16/01/2024;107.63;78.06;0.118;29.569999999999993;11.799999999999999
